title,author,summary,published
"Ferret-UI 2: Mastering Universal User Interface Understanding Across
  Platforms","Zhangheng Li, Keen You, Haotian Zhang, Di Feng, Harsh Agrawal, Xiujun Li, Mohana Prasad Sathya Moorthy, Jeff Nichols, Yinfei Yang, Zhe Gan","  Building a generalist model for user interface (UI) understanding is
challenging due to various foundational issues, such as platform diversity,
resolution variation, and data limitation. In this paper, we introduce
Ferret-UI 2, a multimodal large language model (MLLM) designed for universal UI
understanding across a wide range of platforms, including iPhone, Android,
iPad, Webpage, and AppleTV. Building on the foundation of Ferret-UI, Ferret-UI
2 introduces three key innovations: support for multiple platform types,
high-resolution perception through adaptive scaling, and advanced task training
data generation powered by GPT-4o with set-of-mark visual prompting. These
advancements enable Ferret-UI 2 to perform complex, user-centered interactions,
making it highly versatile and adaptable for the expanding diversity of
platform ecosystems. Extensive empirical experiments on referring, grounding,
user-centric advanced tasks (comprising 9 subtasks $\times$ 5 platforms), GUIDE
next-action prediction dataset, and GUI-World multi-platform benchmark
demonstrate that Ferret-UI 2 significantly outperforms Ferret-UI, and also
shows strong cross-platform transfer capabilities.
",2024-10-24T17:58:31Z
"Does Data Contamination Detection Work (Well) for LLMs? A Survey and
  Evaluation on Detection Assumptions","Yujuan Fu, Ozlem Uzuner, Meliha Yetisgen, Fei Xia","  Large language models (LLMs) have demonstrated great performance across
various benchmarks, showing potential as general-purpose task solvers. However,
as LLMs are typically trained on vast amounts of data, a significant concern in
their evaluation is data contamination, where overlap between training data and
evaluation datasets inflates performance assessments. While multiple approaches
have been developed to identify data contamination, these approaches rely on
specific assumptions that may not hold universally across different settings.
To bridge this gap, we systematically review 47 papers on data contamination
detection, categorize the underlying assumptions, and assess whether they have
been rigorously validated. We identify and analyze eight categories of
assumptions and test three of them as case studies. Our analysis reveals that
when classifying instances used for pretraining LLMs, detection approaches
based on these three assumptions perform close to random guessing, suggesting
that current LLMs learn data distributions rather than memorizing individual
instances. Overall, this work underscores the importance of approaches clearly
stating their underlying assumptions and testing their validity across various
scenarios.
",2024-10-24T17:58:22Z
On the Crucial Role of Initialization for Matrix Factorization,"Bingcong Li, Liang Zhang, Aryan Mokhtari, Niao He","  This work revisits the classical low-rank matrix factorization problem and
unveils the critical role of initialization in shaping convergence rates for
such nonconvex and nonsmooth optimization. We introduce Nystrom initialization,
which significantly improves the global convergence of Scaled Gradient Descent
(ScaledGD) in both symmetric and asymmetric matrix factorization tasks.
Specifically, we prove that ScaledGD with Nystrom initialization achieves
quadratic convergence in cases where only linear rates were previously known.
Furthermore, we extend this initialization to low-rank adapters (LoRA) commonly
used for finetuning foundation models. Our approach, NoRA, i.e., LoRA with
Nystrom initialization, demonstrates superior performance across various
downstream tasks and model scales, from 1B to 7B parameters, in large language
and diffusion models.
",2024-10-24T17:58:21Z
"Learning to Look: Seeking Information for Decision Making via Policy
  Factorization","Shivin Dass, Jiaheng Hu, Ben Abbatematteo, Peter Stone, Roberto Martín-Martín","  Many robot manipulation tasks require active or interactive exploration
behavior in order to be performed successfully. Such tasks are ubiquitous in
embodied domains, where agents must actively search for the information
necessary for each stage of a task, e.g., moving the head of the robot to find
information relevant to manipulation, or in multi-robot domains, where one
scout robot may search for the information that another robot needs to make
informed decisions. We identify these tasks with a new type of problem,
factorized Contextual Markov Decision Processes, and propose DISaM, a
dual-policy solution composed of an information-seeking policy that explores
the environment to find the relevant contextual information and an
information-receiving policy that exploits the context to achieve the
manipulation goal. This factorization allows us to train both policies
separately, using the information-receiving one to provide reward to train the
information-seeking policy. At test time, the dual agent balances exploration
and exploitation based on the uncertainty the manipulation policy has on what
the next best action is. We demonstrate the capabilities of our dual policy
solution in five manipulation tasks that require information-seeking behaviors,
both in simulation and in the real-world, where DISaM significantly outperforms
existing methods. More information at
https://robin-lab.cs.utexas.edu/learning2look/.
",2024-10-24T17:58:11Z
"OSCAR: Operating System Control via State-Aware Reasoning and
  Re-Planning","Xiaoqiang Wang, Bang Liu","  Large language models (LLMs) and large multimodal models (LMMs) have shown
great potential in automating complex tasks like web browsing and gaming.
However, their ability to generalize across diverse applications remains
limited, hindering broader utility. To address this challenge, we present
OSCAR: Operating System Control via state-Aware reasoning and Re-planning.
OSCAR is a generalist agent designed to autonomously navigate and interact with
various desktop and mobile applications through standardized controls, such as
mouse and keyboard inputs, while processing screen images to fulfill user
commands. OSCAR translates human instructions into executable Python code,
enabling precise control over graphical user interfaces (GUIs). To enhance
stability and adaptability, OSCAR operates as a state machine, equipped with
error-handling mechanisms and dynamic task re-planning, allowing it to
efficiently adjust to real-time feedback and exceptions. We demonstrate OSCAR's
effectiveness through extensive experiments on diverse benchmarks across
desktop and mobile platforms, where it transforms complex workflows into simple
natural language commands, significantly boosting user productivity. Our code
will be open-source upon publication.
",2024-10-24T17:58:08Z
"Where Am I and What Will I See: An Auto-Regressive Model for Spatial
  Localization and View Prediction","Junyi Chen, Di Huang, Weicai Ye, Wanli Ouyang, Tong He","  Spatial intelligence is the ability of a machine to perceive, reason, and act
in three dimensions within space and time. Recent advancements in large-scale
auto-regressive models have demonstrated remarkable capabilities across various
reasoning tasks. However, these models often struggle with fundamental aspects
of spatial reasoning, particularly in answering questions like ""Where am I?""
and ""What will I see?"". While some attempts have been done, existing approaches
typically treat them as separate tasks, failing to capture their interconnected
nature. In this paper, we present Generative Spatial Transformer (GST), a novel
auto-regressive framework that jointly addresses spatial localization and view
prediction. Our model simultaneously estimates the camera pose from a single
image and predicts the view from a new camera pose, effectively bridging the
gap between spatial awareness and visual prediction. The proposed innovative
camera tokenization method enables the model to learn the joint distribution of
2D projections and their corresponding spatial perspectives in an
auto-regressive manner. This unified training paradigm demonstrates that joint
optimization of pose estimation and novel view synthesis leads to improved
performance in both tasks, for the first time, highlighting the inherent
relationship between spatial awareness and visual prediction.
",2024-10-24T17:58:05Z
"Context is Key: A Benchmark for Forecasting with Essential Textual
  Information","Andrew Robert Williams, Arjun Ashok, Étienne Marcotte, Valentina Zantedeschi, Jithendaraa Subramanian, Roland Riachi, James Requeima, Alexandre Lacoste, Irina Rish, Nicolas Chapados, Alexandre Drouin","  Forecasting is a critical task in decision making across various domains.
While numerical data provides a foundation, it often lacks crucial context
necessary for accurate predictions. Human forecasters frequently rely on
additional information, such as background knowledge or constraints, which can
be efficiently communicated through natural language. However, the ability of
existing forecasting models to effectively integrate this textual information
remains an open question. To address this, we introduce ""Context is Key"" (CiK),
a time series forecasting benchmark that pairs numerical data with diverse
types of carefully crafted textual context, requiring models to integrate both
modalities. We evaluate a range of approaches, including statistical models,
time series foundation models, and LLM-based forecasters, and propose a simple
yet effective LLM prompting method that outperforms all other tested methods on
our benchmark. Our experiments highlight the importance of incorporating
contextual information, demonstrate surprising performance when using LLM-based
forecasting models, and also reveal some of their critical shortcomings. By
presenting this benchmark, we aim to advance multimodal forecasting, promoting
models that are both accurate and accessible to decision-makers with varied
technical expertise. The benchmark can be visualized at
https://servicenow.github.io/context-is-key-forecasting/v0/ .
",2024-10-24T17:56:08Z
"Stable Consistency Tuning: Understanding and Improving Consistency
  Models","Fu-Yun Wang, Zhengyang Geng, Hongsheng Li","  Diffusion models achieve superior generation quality but suffer from slow
generation speed due to the iterative nature of denoising. In contrast,
consistency models, a new generative family, achieve competitive performance
with significantly faster sampling. These models are trained either through
consistency distillation, which leverages pretrained diffusion models, or
consistency training/tuning directly from raw data. In this work, we propose a
novel framework for understanding consistency models by modeling the denoising
process of the diffusion model as a Markov Decision Process (MDP) and framing
consistency model training as the value estimation through Temporal
Difference~(TD) Learning. More importantly, this framework allows us to analyze
the limitations of current consistency training/tuning strategies. Built upon
Easy Consistency Tuning (ECT), we propose Stable Consistency Tuning (SCT),
which incorporates variance-reduced learning using the score identity. SCT
leads to significant performance improvements on benchmarks such as CIFAR-10
and ImageNet-64. On ImageNet-64, SCT achieves 1-step FID 2.42 and 2-step FID
1.55, a new SoTA for consistency models.
",2024-10-24T17:55:52Z
"Bridge-Coder: Unlocking LLMs' Potential to Overcome Language Gaps in
  Low-Resource Code","Jipeng Zhang, Jianshu Zhang, Yuanzhe Li, Renjie Pi, Rui Pan, Runtao Liu, Ziqiang Zheng, Tong Zhang","  Large Language Models (LLMs) demonstrate strong proficiency in generating
code for high-resource programming languages (HRPLs) like Python but struggle
significantly with low-resource programming languages (LRPLs) such as Racket or
D. This performance gap deepens the digital divide, preventing developers using
LRPLs from benefiting equally from LLM advancements and reinforcing disparities
in innovation within underrepresented programming communities. While generating
additional training data for LRPLs is promising, it faces two key challenges:
manual annotation is labor-intensive and costly, and LLM-generated LRPL code is
often of subpar quality. The underlying cause of this issue is the gap between
natural language to programming language gap (NL-PL Gap), which is especially
pronounced in LRPLs due to limited aligned data. In this work, we introduce a
novel approach called Bridge-Coder, which leverages LLMs' intrinsic
capabilities to enhance the performance on LRPLs. Our method consists of two
key stages. Bridge Generation, where we create high-quality dataset by
utilizing LLMs' general knowledge understanding, proficiency in HRPLs, and
in-context learning abilities. Then, we apply the Bridged Alignment, which
progressively improves the alignment between NL instructions and LRPLs.
Experimental results across multiple LRPLs show that Bridge-Coder significantly
enhances model performance, demonstrating the effectiveness and generalization
of our approach. Furthermore, we offer a detailed analysis of the key
components of our method, providing valuable insights for future work aimed at
addressing the challenges associated with LRPLs.
",2024-10-24T17:55:03Z
Large Spatial Model: End-to-end Unposed Images to Semantic 3D,"Zhiwen Fan, Jian Zhang, Wenyan Cong, Peihao Wang, Renjie Li, Kairun Wen, Shijie Zhou, Achuta Kadambi, Zhangyang Wang, Danfei Xu, Boris Ivanovic, Marco Pavone, Yue Wang","  Reconstructing and understanding 3D structures from a limited number of
images is a well-established problem in computer vision. Traditional methods
usually break this task into multiple subtasks, each requiring complex
transformations between different data representations. For instance, dense
reconstruction through Structure-from-Motion (SfM) involves converting images
into key points, optimizing camera parameters, and estimating structures.
Afterward, accurate sparse reconstructions are required for further dense
modeling, which is subsequently fed into task-specific neural networks. This
multi-step process results in considerable processing time and increased
engineering complexity.
  In this work, we present the Large Spatial Model (LSM), which processes
unposed RGB images directly into semantic radiance fields. LSM simultaneously
estimates geometry, appearance, and semantics in a single feed-forward
operation, and it can generate versatile label maps by interacting with
language at novel viewpoints. Leveraging a Transformer-based architecture, LSM
integrates global geometry through pixel-aligned point maps. To enhance spatial
attribute regression, we incorporate local context aggregation with multi-scale
fusion, improving the accuracy of fine local details. To tackle the scarcity of
labeled 3D semantic data and enable natural language-driven scene manipulation,
we incorporate a pre-trained 2D language-based segmentation model into a
3D-consistent semantic feature field. An efficient decoder then parameterizes a
set of semantic anisotropic Gaussians, facilitating supervised end-to-end
learning. Extensive experiments across various tasks show that LSM unifies
multiple 3D vision tasks directly from unposed images, achieving real-time
semantic 3D reconstruction for the first time.
",2024-10-24T17:54:42Z
"BioMistral-NLU: Towards More Generalizable Medical Language
  Understanding through Instruction Tuning","Yujuan Velvin Fu, Giridhar Kaushik Ramachandran, Namu Park, Kevin Lybarger, Fei Xia, Ozlem Uzuner, Meliha Yetisgen","  Large language models (LLMs) such as ChatGPT are fine-tuned on large and
diverse instruction-following corpora, and can generalize to new tasks.
However, those instruction-tuned LLMs often perform poorly in specialized
medical natural language understanding (NLU) tasks that require domain
knowledge, granular text comprehension, and structured data extraction. To
bridge the gap, we: (1) propose a unified prompting format for 7 important NLU
tasks, % through span extraction and multi-choice question-answering (QA), (2)
curate an instruction-tuning dataset, MNLU-Instruct, utilizing diverse existing
open-source medical NLU corpora, and (3) develop BioMistral-NLU, a
generalizable medical NLU model, through fine-tuning BioMistral on
MNLU-Instruct. We evaluate BioMistral-NLU in a zero-shot setting, across 6
important NLU tasks, from two widely adopted medical NLU benchmarks: Biomedical
Language Understanding Evaluation (BLUE) and Biomedical Language Understanding
and Reasoning Benchmark (BLURB). Our experiments show that our BioMistral-NLU
outperforms the original BioMistral, as well as the proprietary LLMs - ChatGPT
and GPT-4. Our dataset-agnostic prompting strategy and instruction tuning step
over diverse NLU tasks enhance LLMs' generalizability across diverse medical
NLU tasks. Our ablation experiments show that instruction-tuning on a wider
variety of tasks, even when the total number of training instances remains
constant, enhances downstream zero-shot generalization.
",2024-10-24T17:53:53Z
"Learning Structured Compressed Sensing with Automatic Resource
  Allocation","Han Wang, Eduardo Pérez, Iris A. M. Huijben, Hans van Gorp, Ruud van Sloun, Florian Römer","  Multidimensional data acquisition often requires extensive time and poses
significant challenges for hardware and software regarding data storage and
processing. Rather than designing a single compression matrix as in
conventional compressed sensing, structured compressed sensing yields
dimension-specific compression matrices, reducing the number of optimizable
parameters. Recent advances in machine learning (ML) have enabled task-based
supervised learning of subsampling matrices, albeit at the expense of complex
downstream models. Additionally, the sampling resource allocation across
dimensions is often determined in advance through heuristics. To address these
challenges, we introduce Structured COmpressed Sensing with Automatic Resource
Allocation (SCOSARA) with an information theory-based unsupervised learning
strategy. SCOSARA adaptively distributes samples across sampling dimensions
while maximizing Fisher information content. Using ultrasound localization as a
case study, we compare SCOSARA to state-of-the-art ML-based and greedy search
algorithms. Simulation results demonstrate that SCOSARA can produce
high-quality subsampling matrices that achieve lower Cram\'er-Rao Bound values
than the baselines. In addition, SCOSARA outperforms other ML-based algorithms
in terms of the number of trainable parameters, computational complexity, and
memory requirements while automatically choosing the number of samples per
axis.
",2024-10-24T17:53:33Z
The Learning Stabilizers with Noise problem,"Alexander Poremba, Yihui Quek, Peter Shor","  Random classical codes have good error correcting properties, and yet they
are notoriously hard to decode in practice. Despite many decades of extensive
study, the fastest known algorithms still run in exponential time. The Learning
Parity with Noise (LPN) problem, which can be seen as the task of decoding a
random linear code in the presence of noise, has thus emerged as a prominent
hardness assumption with numerous applications in both cryptography and
learning theory.
  Is there a natural quantum analog of the LPN problem? In this work, we
introduce the Learning Stabilizers with Noise (LSN) problem, the task of
decoding a random stabilizer code in the presence of local depolarizing noise.
We give both polynomial-time and exponential-time quantum algorithms for
solving LSN in various depolarizing noise regimes, ranging from extremely low
noise, to low constant noise rates, and even higher noise rates up to a
threshold. Next, we provide concrete evidence that LSN is hard. First, we show
that LSN includes LPN as a special case, which suggests that it is at least as
hard as its classical counterpart. Second, we prove a worst-case to
average-case reduction for variants of LSN. We then ask: what is the
computational complexity of solving LSN? Because the task features quantum
inputs, its complexity cannot be characterized by traditional complexity
classes. Instead, we show that the LSN problem lies in a recently introduced
(distributional and oracle) unitary synthesis class. Finally, we identify
several applications of our LSN assumption, ranging from the construction of
quantum bit commitment schemes to the computational limitations of learning
from quantum data.
",2024-10-24T17:53:02Z
Dynamic Vocabulary Pruning in Early-Exit LLMs,"Jort Vincenti, Karim Abdel Sadek, Joan Velja, Matteo Nulli, Metod Jazbec","  Increasing the size of large language models (LLMs) has been shown to lead to
better performance. However, this comes at the cost of slower and more
expensive inference. Early-exiting is a promising approach for improving the
efficiency of LLM inference by enabling next token prediction at intermediate
layers. Yet, the large vocabulary size in modern LLMs makes the confidence
estimation required for exit decisions computationally expensive, diminishing
the efficiency gains. To address this, we propose dynamically pruning the
vocabulary at test time for each token. Specifically, the vocabulary is pruned
at one of the initial layers, and the smaller vocabulary is then used
throughout the rest of the forward pass. Our experiments demonstrate that such
post-hoc dynamic vocabulary pruning improves the efficiency of confidence
estimation in early-exit LLMs while maintaining competitive performance.
",2024-10-24T17:52:31Z
Adjusted Overfitting Regression,Dylan Wilson,"  In this paper, I will introduce a new form of regression, that can adjust
overfitting and underfitting through, ""distance-based regression."" Overfitting
often results in finding false patterns causing inaccurate results, so by
having a new approach that minimizes overfitting, more accurate predictions can
be derived. Then I will proceed with a test of my regression form and show
additional ways to optimize the regression. Finally, I will apply my new
technique to a specific data set to demonstrate its practical value.
",2024-10-24T17:50:08Z
Path Guiding for Monte Carlo PDE Solvers,"Tianyu Huang, Jingwang Ling, Shuang Zhao, Feng Xu","  In recent years, Monte Carlo PDE solvers have garnered increasing attention
in computer graphics, demonstrating value across a wide range of applications.
Despite offering clear advantages over traditional methods-such as avoiding
discretization and enabling local evaluations-Monte Carlo PDE solvers face
challenges due to their stochastic nature, including high variance and slow
convergence rates. To mitigate the variance issue, we draw inspiration from
Monte Carlo path tracing and apply the path guiding technique to the Walk on
Stars estimator. Specifically, we examine the target sampling distribution at
each step of the Walk on Stars estimator, parameterize it, and introduce neural
implicit representations to model the spatially-varying guiding distribution.
This path guiding approach is implemented in a wavefront-style PDE solver, and
experimental results demonstrate that it effectively reduces variance in Monte
Carlo PDE solvers.
",2024-10-24T17:35:12Z
